subject,trial,stim,picture,response,reactiontime,correct,spaced,stimvalue,feedback,reward,repetition,trialonset
290,1,5,101,2,1.343385132,0,1,2,2,0.03,1,2.030266437
290,2,5,101,1,1.187822756,1,1,2,2,0.41,2,9.557495983
290,3,2,111,1,0.946170854,0,1,0,0,-0.25,1,17.38243195
290,4,2,111,2,0.714071299,1,1,0,0,-0.03,2,22.371986
290,5,5,101,-1,NaN,NaN,1,2,2,-0.5,3,28.11154403
290,6,2,111,1,1.403694755,0,1,0,-1,-0.04,3,33.70105999
290,7,4,138,2,0.888183159,1,1,0,0,-0.01,1,39.2903556
290,8,4,138,2,0.881968966,1,1,0,0,-0.01,2,45.18055345
290,9,1,102,1,0.943880359,1,1,1,1,0.28,1,51.95541367
290,10,1,102,1,0.600955595,1,1,1,1,0.28,2,57.54424245
290,11,1,102,1,0.552957466,0,1,1,0,-0.07,3,62.83382874
290,12,4,138,1,1.23904647,0,1,0,-1,0,3,68.12310226
290,13,5,101,1,1.297839092,0,1,2,0,-0.03,4,74.14625708
290,14,1,102,1,0.72856082,1,1,1,1,0.28,4,79.73607409
290,15,2,111,2,0.915165443,1,1,0,0,0.01,4,84.7251678
290,16,4,138,2,1.188270574,1,1,0,0,0.01,4,91.79950936
290,17,1,102,1,0.744803186,1,1,1,1,0.26,5,98.57335772
290,18,4,138,2,0.804649841,1,1,0,-1,-0.25,5,104.1632738
290,19,5,101,1,1.60713742,1,1,2,2,0.44,5,111.5384212
290,20,2,111,2,1.251994929,1,1,0,-1,-0.28,5,117.1279479
290,21,2,111,1,1.035140555,0,1,0,0,-0.2,6,2.036412733
290,22,4,138,1,1.256788479,0,1,0,0,-0.26,6,9.112613463
290,23,5,101,1,1.488351532,0,1,2,0,0,6,15.0029236
290,24,1,102,1,0.559631236,0,1,1,0,-0.1,6,22.52809218
290,25,4,138,2,1.637133045,1,1,0,0,-0.05,7,29.30264333
290,26,5,101,2,1.086678082,0,1,2,2,0.03,7,35.47533002
290,27,1,102,2,1.400750828,0,1,1,1,-0.09,7,40.7651849
290,28,2,111,2,0.840642791,1,1,0,0,0.02,7,47.08863316
290,29,1,102,1,0.835309195,1,1,1,1,0.22,8,52.07747921
290,30,5,101,1,1.151632432,1,1,2,2,0.49,8,59.45309948
290,31,4,138,1,0.948963281,0,1,0,-1,-0.01,8,67.27731468
290,32,2,111,2,1.080869266,1,1,0,0,-0.05,8,74.87023345
290,33,1,102,1,1.207287523,0,1,1,0,-0.04,9,81.04364204
290,34,2,111,2,1.365982795,1,1,0,-1,-0.23,9,85.88222678
290,35,4,138,2,1.25073434,1,1,0,0,0.01,9,92.80684924
290,36,5,101,1,1.346486617,0,1,2,0,-0.01,9,100.1821531
290,37,5,101,2,0.92266487,0,1,2,2,0.04,10,105.1704843
290,38,4,138,1,1.638557689,0,1,0,0,-0.29,10,112.3954029
290,39,2,111,2,1.690197086,1,1,0,0,-0.02,10,118.5694644
290,40,1,102,1,0.781103033,1,1,1,1,0.3,10,125.4936421
290,41,3,132,1,1.345507971,1,1,1,1,0.27,1,2.037489466
290,42,3,132,1,0.854360439,1,1,1,1,0.29,2,9.865196976
290,43,3,132,1,0.553476989,1,1,1,1,0.3,3,16.03834488
290,44,7,134,1,1.437410077,1,1,2,2,0.5,1,21.17803302
290,45,6,133,2,0.851379318,1,1,0,0,0,1,27.50215134
290,46,6,133,2,0.712509783,1,1,0,0,0.02,2,32.79075396
290,47,7,134,2,1.134443266,0,1,2,2,0.01,2,38.96531268
290,48,6,133,1,0.919494806,0,1,0,0,-0.28,3,45.13789664
290,49,7,134,1,1.505409281,1,1,2,2,0.46,3,52.81389918
290,50,3,132,1,0.73826689,0,1,1,0,-0.06,4,58.83624488
290,51,7,134,1,1.168906214,0,1,2,0,-0.08,4,64.27671211
290,52,6,133,2,1.039355944,1,1,0,-1,-0.23,4,70.16607827
290,53,3,132,1,0.520443533,1,1,1,1,0.29,5,75.90559
290,54,6,133,1,1.431827478,0,1,0,0,-0.29,5,82.98142302
290,55,7,134,1,0.947313907,1,1,2,2,0.4,5,89.75894888
290,56,3,132,1,0.531287591,0,1,1,0,-0.04,6,95.92861985
290,57,6,133,1,1.678508345,0,1,0,0,-0.29,6,102.703016
290,58,7,134,1,0.975409303,0,1,2,0,-0.07,6,109.1775551
290,59,3,132,1,0.622205637,1,1,1,1,0.25,7,114.7660618
290,60,7,134,1,1.066284744,1,1,2,2,0.42,7,121.6910074
290,61,6,133,2,1.133345477,1,1,0,-1,-0.22,7,2.029914861
290,62,3,132,1,0.700638817,0,1,1,0,-0.08,8,9.707420169
290,63,7,134,1,1.089942843,1,1,2,2,0.42,8,15.14679719
290,64,6,133,2,1.65773467,1,1,0,0,0,8,21.31931856
290,65,3,132,1,0.746517753,1,1,1,1,0.2,9,27.79438361
290,66,6,133,2,0.874591811,1,1,0,-1,-0.3,9,34.11715932
290,67,7,134,1,1.057542621,0,1,2,0,-0.04,9,41.49333899
290,68,3,132,1,0.781414763,1,1,1,1,0.28,10,49.16825829
290,69,6,133,2,0.910048482,1,1,0,0,0.01,10,56.693361
290,70,7,134,1,1.024816367,1,1,2,2,0.5,10,64.21802424
290,71,8,135,1,1.365098004,0,1,0,0,-0.2,NaN,69.2075779
290,72,8,135,2,0.532925398,1,1,0,0,-0.04,NaN,76.13155374
290,73,8,135,2,0.571859739,1,1,0,0,0.01,NaN,82.02074538
290,74,8,135,2,0.455793706,1,1,0,-1,-0.28,NaN,87.31012597
290,75,8,135,2,0.600888561,1,1,0,0,0.04,NaN,93.05027705
290,76,8,135,2,0.601772595,1,1,0,0,-0.01,NaN,100.5765295
290,77,8,135,1,0.956720646,0,1,0,0,-0.21,NaN,107.9514331
290,78,8,135,2,1.173451588,1,1,0,-1,-0.28,NaN,114.4249981
290,79,8,135,2,0.841023172,1,1,0,0,0,NaN,121.3490276
290,80,8,135,2,0.495436153,1,1,0,-1,-0.27,NaN,128.1232972
300,1,5,119,1,0.631101914,1,1,2,2,0.48,1,2.044433294
300,2,5,119,1,0.799616012,1,1,2,2,0.48,2,9.570562734
300,3,2,136,2,1.583945025,1,1,0,0,-0.05,1,17.39614796
300,4,2,136,2,0.867116031,1,1,0,0,0.04,2,22.38544293
300,5,2,136,2,0.820296902,1,1,0,-1,-0.21,3,28.12594038
300,6,5,119,1,0.73315943,1,1,2,2,0.42,3,33.71481603
300,7,5,119,1,0.554808052,1,1,2,0,-0.1,4,39.30417973
300,8,4,127,2,1.388372375,1,1,0,0,0.03,1,44.89441354
300,9,4,127,2,0.629823726,1,1,0,0,0.03,2,50.78347654
300,10,1,118,1,1.442071608,1,1,1,1,0.25,1,57.55792707
300,11,1,118,1,0.562491151,1,1,1,1,0.21,2,63.14813794
300,12,1,118,1,0.529589072,1,1,1,0,-0.09,3,68.4364102
300,13,4,127,2,0.934740328,1,1,0,-1,-0.22,3,73.72638809
300,14,4,127,2,1.637187796,1,1,0,0,-0.04,4,79.7503221
300,15,1,118,1,0.713319151,1,1,1,1,0.26,4,86.52423894
300,16,2,136,2,0.908267619,1,1,0,0,0.04,4,91.51337194
300,17,1,118,1,0.691916308,1,1,1,1,0.28,5,98.58802551
300,18,4,127,2,0.747745708,1,1,0,-1,-0.27,5,104.1772833
